="Spec set 4 cascade: Wine area share of national (X1_share)"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="X1_share",="-0.187",="0.439",="0.297",="0.367",="0.325"
="",="(0.314)",="(0.273)",="(0.216)",="(0.357)",="(0.418)"
="cov1",="",="-0.271***",="-0.178**",="-0.192**",="-0.196**"
="",="",="(0.074)",="(0.071)",="(0.077)",="(0.071)"
="cov2_total_share",="",="",="-0.340",="-0.279",="-0.241"
="",="",="",="(0.406)",="(0.364)",="(0.224)"
="cov3",="",="",="",="-0.052",="-0.019"
="",="",="",="",="(0.057)",="(0.072)"
="cov_land",="",="",="",="",="2.544"
="",="",="",="",="",="(2.957)"
="ln_pop_1900",="",="",="",="",="-2.378"
="",="",="",="",="",="(3.363)"
="_cons",="65.093***",="67.387***",="67.676***",="69.608***",="78.157**"
="",="(2.653)",="(2.273)",="(2.267)",="(2.928)",="(28.935)"
="N",="25",="25",="25",="25",="25"
="R-squared",="0.011",="0.467",="0.538",="0.558",="0.601"
="RMSE",="11.863",="8.907",="8.488",="8.501",="8.518"
